Deputado,Fala
Caetano,"['Presidente', 'povo', 'brasileiro', 'neste', 'instante', 'quero', 'dizer', 'covarde', 'Quero', 'dizer', 'filhos', 'povo', 'filhos', 'povo', 'invasão', 'ocupações', 'sem-terra', 'sem-teto', 'trabalhadores', 'Camaçari', 'Bahia', 'sertão', 'Nordeste', 'Senhoras', 'senhores', 'olhem', 'Mesa', 'aí', 'Mesa', 'traidores', 'conspiradores', 'contra', 'povo', 'brasileiro', 'contra', 'V.Exa', '.', 'Presidente', 'contra', 'Michel', 'Temer', 'favor', 'Não', 'Não', 'Não', 'contra']"
Claudio Cajado,"['Pelas', 'baianas', 'baianos', 'querem', 'País', 'decente', 'nome', 'cidade', 'Dias', ""d'Ávila"", 'projetou', 'vida', 'pública', 'digo', 'povo', 'brasileiro', 'refém', 'deste', 'momento', 'passageiro', 'rumo', 'futuro', 'melhor', 'destino', 'Para', 'governantes', 'brasileiros', 'possam', 'cumprir', 'Constituição', 'República', 'leis', 'brasileiras', 'tomarem', 'posse', 'juraram', 'defender', 'cumprir', 'impeachment']"
Daniel Almeida,"['Esse', 'processo', 'constituindo', 'farsa', 'ilegal', 'imoral', 'ilegítimo', 'povo', 'brasileiro', 'acompanhando', 'farsa', 'Por', 'rua', 'reclamando', 'consciência', 'democrática', 'deste', 'País', 'aceita', 'golpe', 'golpe']"
Davidson Magalhães,"['Em', 'defesa', 'democracia', 'hoje', 'vivendo', 'farsa', 'dirigida', 'réu', 'processo', 'corrupção', 'STF', 'defesa', 'povo', 'brasileiro', 'nome', 'Bahia', 'nome', 'região', 'sul', 'Bahia', 'nome', 'cidade', 'Itabuna', 'defesa', 'CEPLAC', 'pré-sal', 'golpe', 'Não', 'passará']"
Elmar Nascimento,"['Para', 'extirpar', 'vida', 'nacional', 'organização', 'criminosa', 'sequestrou', 'Bahia', 'brasileiros', 'Bahia', 'baianos', 'futuro', 'Mariana', 'Juliana', 'encho', 'peito', 'orgulho', 'campo-formosense', 'vota', 'Viva']"
Erivelton Santana,"['Presidente', 'resgate', 'esperança', 'povo', 'brasileiro', 'reconstrução', 'País', 'sobretudo', 'defesa', 'vida', 'família', 'fé']"
Félix Mendonça Júnior,"['Presidente', 'clareza', 'resultado', 'vou', 'acompanhar', 'partido', 'votando']"
Fernando Torres,"['Presidente', 'senhor', 'talvez', 'Deputado', 'conhece', 'Regimento', 'estar', 'sentado', 'nesta', 'cadeira', 'senhor', 'Presidente', 'estar', 'aí', 'Estão', 'vaiando', 'Mas', 'vou', 'esperar', 'Presidente', 'Conselho', 'Ética', 'mande', 'cassação', 'Plenário', 'vou', 'votar', 'cassação', 'Presidente']"
Irmão Lázaro,"['Existe', 'frase', 'encaixa', 'bem', 'momento', 'soberba', 'precede', 'queda', 'Isso', 'deve', 'servir', 'exemplo', 'cada', 'porque', 'ninguém', 'aja', 'soberba', 'dia', 'experimente', 'queda', 'muita', 'soberba', 'abrir', 'rombos', 'bilionários', 'cofres', 'públicos', 'achar', 'vai', 'acontecer', 'nada', 'muita', 'soberba', 'sirva', 'exemplo', 'cada', 'tanto', 'Deputados', 'compõem', 'base', 'Governo', 'quanto', 'Deputados', 'Oposição', 'soberba', 'precede', 'queda', 'Meu', 'Presidente']"
João Carlos Bacelar,"['Presidente', 'posição', 'consolidada', 'plenário', 'poderia', 'ser', 'oportunista', 'virtude', 'posicionamento', 'partidário', 'Meu', 'Presidente']"
João Gualberto,"['Com', 'convicção', 'Governo', 'Presidenta', 'Dilma', 'corrupto', 'mentiroso', 'cometeu', 'crime', 'responsabilidade', 'fiscal', 'sonhando', 'Governo', 'corrupção', 'esperança', 'próximo', 'Presidente', 'governe', 'partido', 'aproveitando', 'homenagear', 'Ministério', 'Público', 'Polícia', 'Federal', 'Juiz', 'Sérgio', 'Moro', 'pedir', 'prenda', 'resto', 'corruptos', 'homenageando', 'Hélio', 'Bicudo', 'Janaina', 'Paschoal', 'Miguel', 'Reale', 'Júnior', 'querida', 'Mata', 'São', 'João', 'Bahia', 'verde', 'amarelo']"
Jorge Solla,"['Pelos', 'trabalhadores', 'população', 'brasileira', 'ruas', 'manifestando', 'contra', 'golpe', 'companheiros', 'Bahia', 'mobilizados', 'aceitar', 'golpe', 'estado', 'neste', 'País', '...', 'Ninguém', 'acredita', 'acreditam', 'solução', 'tirar', 'Dilma', 'deixar', 'Temer', 'Eduardo', 'Cunha', 'Mas', 'querem', 'solução', 'Vocês', 'querem', 'solução', 'situações', 'particulares', 'cada', 'corruptos', 'alinharam', 'Oposição', 'rasgaram', 'Constituição', 'fazer', 'golpe', 'Estado', 'neste', 'País', 'Meu', 'golpe']"
José Carlos Aleluia,"['Durante', '13', 'anos', 'partido', 'Democratas', 'fez', 'oposição', 'projeto', 'criminoso', 'implantado', 'Luiz', 'Inácio', 'Lula', 'Silva', 'Em', '2007', 'disse', 'iria', 'extirpar', 'Democratas', 'política', 'brasileira', 'Hoje', 'extirpando', 'Lula', 'Dilma', 'vai', 'cadeia', 'votando', 'crimes', 'Dilma', 'cometeu', 'ter', 'passado', 'cheque', 'fundo', 'nome', 'povo', 'brasileiro', 'Ela', 'roubou', 'refinaria', 'roubou', 'PETROBRAS', 'roubou', 'Belo', 'Monte', 'Ela', 'honrada', 'princípios', 'respeito', 'vida', 'liberdade', 'justiça', 'povo', 'baiano', 'mulher', 'Maria', 'Luísa', 'filhos', 'netos', 'Viva', 'Viva', 'Bahia', 'Fora', 'Lula', 'Fora', 'Dilma']"
José Carlos Araújo,"['Deputados', 'ouvi', 'falar', 'todas', 'coisas', 'ainda', 'ouvi', 'falar', 'ainda', 'conta', 'Suíça', 'ouvi', 'falar', 'ainda', 'recebimento', 'propinas', 'preciso', 'falar', 'Presidente', '...', 'V.Exa', 'hoje', 'rindo', 'agora', 'bola', 'vez', 'senhor', 'senhor', 'vai', 'pagar', 'tudo', 'fez', 'votando', 'Bahia', 'família', 'filhos', 'netos', 'querida', 'Chapada', 'Diamantina', 'digo', 'Presidente', 'corrupção', 'dinheiro', 'contas', 'Suíça', 'ter', 'contas', 'dizer', 'As', 'contas', 'aí', 'Isso', 'provado', 'Presidente']"
José Nunes,"['Presidente', 'Deputados', 'Deputadas', 'homenagem', 'povo', 'Bahia', 'respeito', 'instituições', 'democráticas', 'respeito', 'Constituição', 'Federal', 'manter', 'coerência', 'política']"
José Rocha,"['Presidente', 'Constituição', 'jurei', 'cumprir', 'democracia', 'Estado', 'Direito', 'história', 'política', 'dez', 'mandatos', 'impeachment']"
Jutahy Junior,"['Em', 'respeito', 'Constituição', 'cuja', 'promulgação', 'privilégio', 'participar', 'assinando-a', 'constituinte', '1988', 'sei', 'lá', 'definidos', 'crimes', 'responsabilidade', 'Presidente', 'Dilma', 'através', 'parecer', 'Relator', 'Jovair', 'Arantes', 'bem', 'definiu', 'crimes', 'Na', 'certeza', 'movimento', 'popular', 'ruas', 'votação', 'hoje', 'respeito', 'todos', 'ruas', 'milhares', 'brasileiros', 'defesa', 'Bahia', 'defesa']"
Lucio Vieira Lima,['Presidente']
Márcio Marinho,"['Presidente', 'Deputados', 'nome', 'nome', 'Bahia', 'nome', 'todos', 'evangélicos', 'todos', 'cristãos', 'País', 'nome', 'partido', 'coerência', 'partido', 'Presidente', 'Marcos', 'Pereira', 'votamos']"
Mário Negromonte Jr.,"['Presidente', 'infelizmente', 'vou', 'poder', 'votar', 'coração', 'manda', 'Meu', 'eleitores', 'Bahia', 'especial', 'Paulo', 'Afonso', 'cidade', 'natal', 'Glória', 'Mas', 'posso', 'descumprir', 'determinação', 'Partido', 'Progressista', 'abstenho', 'votar']"
Moema Gramacho,"['Meu', 'Deus', 'Quanta', 'hipocrisia', 'Não', 'Dilma', 'sair', 'Palácio', 'porque', 'Dilma', 'cometeu', 'crime', 'algum', 'Quem', 'estar', 'nessa', 'cadeira', 'Cunha', 'cúmplices', 'tramando', 'contra', 'Dilma', 'Vocês', 'deviam', 'estar', 'nessa', 'cadeira', 'Esses', 'valentes', 'gritam', 'Fora', 'Dilma', 'gritam', 'Fora', 'Cunha', 'Por', 'Querem', 'tirar', 'Dilma', 'salvar', 'Cunha', 'salvarem', 'Tramam', 'Temer', 'esgoto', 'Jaburu', 'tramou', 'dar', 'rasteira', 'Dilma', 'Vocês', 'uns', 'covardes', 'Covardes', 'Pelas', 'trabalhadoras', 'elegeram', 'primeira', 'mulher', 'Presidenta', 'República', 'povo', 'rua', '...', 'Quando', 'covardes', 'pararem', 'falo', 'Se', 'pararem', 'vou', 'ficar', 'Covardes', 'Covardes', 'Covardes', 'Meu', 'democracia', 'fica', 'Dilma', 'Não', 'golpe', 'Covardes', 'Covardes']"
Paulo Azi,"['Presidente', 'homenageia', 'família', 'respeita', 'vontade', 'eleitores', 'Pela', 'querida', 'Alagoinhas', 'Bahia', 'sofrido', 'tanto', 'últimos', 'anos', 'brasileiros', 'trabalham', 'produzem', 'constroem', 'País', 'País', 'tanta', 'corrupção', 'éuma', 'homenagem', 'exemplo', 'administrador', 'público', 'perseguido', 'Governo', 'Federal', 'Estadual', 'ainda', 'assim', 'considerado', 'melhor', 'Prefeito', 'Prefeito', 'Salvador', 'ACM', 'Neto', 'futuro']"
Paulo Magalhães,"['Presidente', 'Deputados']"
Roberto Britto,"['Pela', 'Bahia', 'democracia']"
Ronaldo Carletto,"['Presidente', 'Deputados', 'apesar', 'concordar', 'forma', 'Governo', 'conduz', 'País', 'entendo', 'democracia', 'chega', 'poder', 'através', 'Eleição', 'Impeachment']"
Sérgio Brito,['Presidente']
Tia Eron,"['Presidente', 'Deputados', 'povo', 'brasileiro', 'honrada', 'nesta', 'noite', 'porque', 'voz', 'mulher', 'negra', 'mulher', 'nordestina', 'quer', 'migalha', 'Governo', 'Federal', 'pois', 'dignidade', 'trabalhar', 'vencer', 'voz', 'Presidente', 'Nacional', 'Marcos', 'Pereira', 'traz', 'unidade', 'Partido', 'Republicano', 'Brasileiro', 'voz', 'jovens', 'crianças', 'Bahia', 'Salvador', 'terra', 'mãe', 'deste', 'País', 'curvará', 'farsa', 'Vários', 'Deputados', 'chegaram', 'dizer', 'existe', 'crime', 'convencidos', 'existe', 'configuração', 'crime', 'responsabilidade', 'Portanto']"
Uldurico Junior,"['Presidente', 'nada', 'consciência', 'limpa', 'consciência', 'limpa', 'saber', 'ter', 'certeza', 'crime', 'responsabilidade', 'consciência', 'limpa', 'sabe', 'guardado', 'coração', 'certeza', 'vendeu', 'cargos', 'dinheiro', 'nenhum', 'consciência', 'sabe', 'acredita', 'podemos', 'mudar', 'País', 'Em', 'nome', 'extremo', 'sul', 'Bahia', 'nome', 'favor', 'Bahia', 'favor', 'País', 'impeachment', 'Presidenta', 'Dilma']"
Valmir Assunção,"['Povo', 'brasileiro', 'dia', '17', 'abril', '1996', '21', 'sem-terra', 'assassinados', 'Pará', 'Quem', 'Presidente', 'Fernando', 'Henrique', 'Cardoso', 'PSDB', 'Quem', 'Governador', 'Pará', 'Almir', 'Gabriel', 'PSDB', '20', 'anos', 'passaram', 'ficando', 'impunes', 'assassinaram', 'companheiros', 'Por', 'Presidente', 'homenagem', 'àqueles', 'lutaram', 'deram', 'vida', 'reforma', 'agrária', 'homenagem', 'Movimento', 'Trabalhadores', 'Rurais', 'Sem', 'Terra', 'Movimento', 'Trabalhadores', 'Sem', 'Teto', 'população', 'negra', 'deste', 'País', 'homenagem', 'vive', 'favelas', 'homenagem', 'àqueles', 'àquelas', 'vão', 'ficar', 'marca', 'golpistas', 'cara', 'óleo', 'peroba', 'vai', 'tirar', 'homenagem', 'Capitão', 'Lamarca', 'homenagem', 'Marighella', 'Zumbi', 'Dandara', 'homenagem', 'povo', 'brasileiro', 'Bahia', 'Itamaraju', 'PT', 'Lula', 'Dilma']"
Waldenor Pereira,"['Brasileiros', 'povo', 'Bahia', 'sessão', 'reconhecida', 'futuro', 'maior', 'farsa', 'história', 'política', 'brasileira', 'Uma', 'Presidenta', 'honesta', 'honrada', 'eleita', 'democraticamente', 'popular', 'sendo', 'julgada', 'tribunal', 'exceção', 'tribunal', 'cujo', 'Presidente', '50', 'membros', 'indiciados', 'Ministério', 'Público', 'réus', 'Supremo', 'Tribunal', 'Federal', 'Em', 'homenagem', 'homens', 'mulheres', 'lutaram', 'lutam', 'democracia', 'contra', 'golpe']"
Aguinaldo Ribeiro,"['Presidente', 'hoje', 'dia', 'homenagem', 'dia', 'celebração', 'dia', 'lamento', 'todos', 'todas', 'forças', 'políticas', 'devemos', 'ter', 'responsabilidade', 'partir', 'amanhã', 'futuro', 'País', 'respeitei', 'democraticamente', 'Líder', 'partido', 'maioria', 'absoluta', 'fechou', 'questão', 'líder', 'maioria', 'líder', 'minoria', 'Por', 'sigo', 'partido', 'admissibilidade', 'desse', 'processo']"
Benjamin Maranhão,"['fundamentado', 'relatório', 'aprovado', 'Comissão', 'Especial', 'relatório', 'aponta', 'crime', 'responsabilidade', 'Presidente', 'Dilma', 'Rousseff', 'Ela', 'feriu', 'art', '85', 'Constituição', 'Ela', 'atentou', 'contra', 'Constituição', 'contra', 'Lei', 'Orçamentária', 'Ela', 'editou', 'créditos', 'autorização', '90', 'bilhões', 'reais', 'Isso', 'crime', 'Ela', 'fez', 'empréstimos', 'bancos', 'públicos', 'proibido', 'Lei', 'Responsabilidade', 'Fiscal', 'Isso', 'crime', 'responsabilidade', 'improbidade', 'administrativa', 'Ela', 'participou', 'compra', 'fraudulenta', 'Pasadena', 'Ela', 'ladra', 'dinheiro', 'Pasadena', 'parar', 'conta', 'João', 'Santana', 'Ela', 'responderá', 'atos', 'Hoje', 'julgamento', 'político', 'crime', 'responsabilidade', 'vai', 'responder', 'criminalmente', 'Ela', 'vai', 'responder', 'Justiça', 'Paraíba', 'tradição', 'luta', 'coragem', 'povo', 'partido', 'Solidariedade', 'lutou', 'incansavelmente', 'dia', 'hoje', 'vou', 'votar', 'grandeza', 'povo']"
Damião Feliciano,"['Presidente', 'Deputados', 'primeiro', 'rogo', 'Deus', 'ilumine', 'caminhos', 'Paraíba', 'caminhos', 'Pelo', 'Estado', 'Democrático', 'Direito', 'seguindo', 'partido', 'PDT']"
Efraim Filho,"['Presidente', 'coerência', 'sempre', 'fez', 'oposição', 'PT', 'apontando', 'erros', 'equívocos', 'mentiras', 'apontando', 'crimes', 'responsabilidade', 'causaram', 'rombo', 'Orçamento', 'farra', 'dinheiro', 'público', 'cuja', 'conta', 'paga', 'cidadão', 'As', 'empresas', 'fechando', 'pais', 'mães', 'família', 'desempregados', 'roubaram', 'dinheiro', 'aposentados', 'fundos', 'pensão', 'remédio', 'Governo', 'irresponsável', 'previsto', 'Constituição', 'impeachment', 'realizado', 'Congresso', 'fiscalizado', 'Supremo', 'Federal', 'Por', 'amor', 'Paraíba', 'família', 'Presidente']"
Hugo Motta,"['Presidente', 'orgulho', 'representar', 'nesta', 'Casa', 'povo', 'Estado', 'Paraíba', 'convicto', 'ainda', 'necessidade', 'união', 'nacional', 'deste', 'processo', 'retome', 'crescimento', 'desenvolvimento']"
Luiz Couto,"['Este', 'ato', 'ato', 'ilegítimo', 'golpe', 'estupro', 'contra', 'democracia', 'Esse', 'aí', 'deveria', 'sair', 'daí', 'presidindo', 'Nós', 'vamos', 'reagir', 'população', 'vai', 'reagir', 'contra', 'golpe', 'contra', 'traíras', 'golpistas', 'daqui', 'Parece', 'turma', 'torno', 'corrupção', 'aumentando', 'Por', 'nome', 'democracia', 'nome', 'trabalhadores', 'ruas', 'vamos', 'reagir', 'votamos']"
Manoel Junior,"['Presidente', 'ecoa', 'nesta', 'Casa', 'clamor', 'ruas', 'Nação', 'exige', 'mudança', 'Nação', 'mudança', 'Contra', 'corrupção', 'qualidade', 'saúde', 'educação', 'segurança', 'País', 'honra', 'eleitores', 'Paraíba', 'companheiros', 'médicos', 'área', 'Saúde', 'conterrâneos', 'Pedras', 'Fogo', 'querida', 'João', 'Pessoa', 'Paraíba', 'impeachment']"
Pedro Cunha Lima,"['Na', 'exigência', 'respeito', 'carrego', 'efeito', 'confiança', 'mim', 'mudança', 'compasso', 'esperança', 'Vamos', 'frente', 'força', 'Voto']"
Rômulo Gouveia,"['Presidente', 'chegar', 'Casa', 'pedimos', 'confiança', 'população', 'No', 'Estado', 'Paraíba', 'querida', 'Campina', 'Grande', 'população', 'inteira', 'pede', 'mudança', 'população', 'aceita', 'modelo', 'administrativo', 'implantado', 'País', 'população', 'através', 'vários', 'segmentos', 'sociedade', 'fez', 'decidisse', 'neste', 'instante', 'futuro', 'precisa', 'todos', 'Precisamos', 'unir', 'Governo', 'coalizão', 'futuro', 'deste', 'País', 'Presidente', '1952', 'jovem', 'Vereador', 'Félix', 'Araújo', 'Campina', 'Grande', 'assassinado', 'porque', 'combatia', 'corrupção', 'votando', 'hoje', 'combate', 'corrupção', 'fim', 'corrupção', 'Por', 'Presidente', 'nome', 'Paraíba', 'nome', 'Campina', 'Grande']"
Veneziano Vital do Rêgo,"['Presidente', 'Parlamentares', 'equilíbrio', 'moderação', 'momento', 'paroxístico', 'País', 'todos', 'exige', 'responsabilidade', 'jurídica', 'consciência', 'política', 'votos', 'posição', 'favorável', 'prosseguimento', 'processo', 'impedimento', 'Presidente']"
Wellington Roberto,"['Presidente', 'Deputados', 'democracia', 'Paraíba', 'sabendo', 'impeachment', 'vai', 'resolver', 'problemas', 'País', 'apesar', 'defender', 'novas', 'eleições']"
Wilson Filho,"['Presidente', 'Deputados', 'Deputadas', 'orgulho', 'neste', 'momento', 'histórico', 'representar', 'Estado', 'Paraíba', 'Em', 'nome', 'João', 'Pessoa', 'nome', 'todo', 'Estado', 'decidi', 'olhar', 'futuro', 'apostar', 'boa', 'política', 'renovação', 'esperança', 'brasileiro', 'As', 'pedaladas', 'fiscais', 'aconteceram', 'momento', 'certo', 'mudar', 'Está', 'hora', 'mudar']"
Adalberto Cavalcanti,"['Presidente', 'nome', 'querido', 'Estado', 'Pernambuco', 'nome', '100', 'mil', 'eleitores', 'recebi', 'votos', 'poderia', 'ser', 'ingrato', 'Presidente', 'Dilma', 'Presidente', 'Lula', 'Então', 'justo', 'contra', 'impeachment']"
Anderson Ferreira,"['Nada', 'nada', 'justifica', 'faça', 'sofrer', 'Hoje', 'nesta', 'Casa', 'chamados', 'fazer', 'parte', 'história', 'Hoje', 'lembrei', 'fortemente', 'pai', 'ensinou', 'valores', 'vida', 'valores', 'éticos', 'política', 'feita', 'compromisso', 'povo', 'Por', 'Jaboatão', 'Guararapes', 'Pernambuco', 'família', 'brasileira', 'esposa', 'filhos', 'digo', 'impeachment']"
André de Paula,"['Presidente', 'pernambucanos', 'forma', 'especial', '100.785', 'cidadãos', 'honraram', 'representá-los', 'nesta', 'Casa', 'fazendo', 'merecida', 'homenagem', 'três', 'grandes', 'Parlamentares', 'pernambucanos', 'Raul', 'Jungmann', 'Cadoca', 'Fernando', 'Monteiro', 'estivem', 'condição', 'titular', 'votariam', 'vou', 'votar', 'ética', 'política', 'decência', 'Pernambuco']"
Augusto Coutinho,"['Presidente', 'toda', 'convicção', 'Deputado', 'Felipe', 'Carreras', 'família', 'Pernambuco', 'tanto', 'amo', 'maior', 'símbolo', 'volte', 'ser', 'bandeira', 'verde-amarela']"
Betinho Gomes,"['Povo', 'brasileiro', 'autorizar', 'abertura', 'processo', 'contra', 'Presidente', 'República', 'Presidente', 'cometeu', 'pedaladas', 'fiscais', 'gerou', 'rombo', '60', 'bilhões', 'Presidente', 'publicou', 'decretos', 'autorização', 'desta', 'Casa', 'Casa', 'Povo', 'causando', 'prejuízo', '90', 'bilhões', 'Presidente', 'infringiu', 'Constituição', 'brasileira', 'vai', 'ser', 'julgada', 'Senado', 'certamente', 'vai', 'responder', 'crimes', 'responsabilidade', 'cometeu', 'Por', 'impeachment']"
Bruno Araújo,"['Presidente', 'quanta', 'honra', 'destino', 'reservou', 'poder', 'voz', 'sair', 'grito', 'esperança', 'milhões', 'brasileiros', 'Senhoras', 'senhores', 'Pernambuco', 'nunca', 'faltou', 'Carrego', 'comigo', 'histórias', 'luta', 'liberdade', 'democracia', 'Por', 'digo', 'futuro']"
Daniel Coelho,"['Num', 'momento', 'história', 'Plenário', 'cassou', 'Presidente', 'cometeu', 'crime', 'ex-Presidente', 'Collor', 'Esse', 'fato', 'repete', 'hoje', 'Presidente', 'Dilma', 'ex-Presidente', 'Dilma', 'cometeu', 'crime', 'responsabilidade', 'usar', 'dinheiro', 'público', 'autorização', 'desta', 'Casa', 'lei', 'todos', 'Fora', 'Dilma', 'Fora', 'Dilma']"
Danilo Cabral,"['Presidente', 'reassumi', 'mandato', 'ocupando', 'cargo', 'Secretário', 'Estado', 'Pernambuco', 'entender', 'neste', 'momento', 'tão', 'importante', 'vida', 'País', 'cabia', 'fazermos', 'delegação', 'deste', 'momento', 'Em', 'nome', 'confiança', 'povo', 'Pernambuco', 'deu', 'estar', 'representando', 'Estado', 'marca', 'lutas', 'libertárias', 'quero', 'neste', 'momento', 'tão', 'importante', 'virada', 'página', 'prestar', 'homenagem', 'grande', 'pernambucano', 'deu', 'valor', 'vida', 'Em', 'nome', 'diferente', 'nome', 'Eduardo', 'Henrique', 'Accioly', 'Campos', 'Governador', 'Presidente', 'partido', 'nome', 'sonhos', 'igual', 'equilibrado', 'educação', 'saúde', 'Estado', 'faça', 'entregas', 'população', 'deseja', 'nome', 'daquilo', 'pediu', 'Coragem', 'pra', 'mudar']"
Eduardo da Fonte,"['Presidente', 'Deputados', 'lado', 'filho', 'Luiz', 'Eduardo', 'nome', 'família', 'gostaria', 'primeiro', 'pedir', 'Deus', 'abençoe', 'vou', 'passar', 'palavra', 'filho', 'possa', 'dizer', 'Sim']"
Fernando Coelho Filho,['Presidente']
Gonzaga Patriota,"['Colegas', 'Deputados', 'Deputadas', 'inteiro', 'assistiu', 'agora', 'pouco', 'impeachment', 'Presidente', 'Dilma', 'porque', 'desmantelado', 'venho', 'defendendo', 'algum', 'tempo', 'eleições', 'gerais', 'vermos', 'Parlamento', 'brasileiro', 'Governadores', 'Prefeitos', 'sendo', 'olhados', 'povo', 'brasileiro', 'maneira', 'ruim', 'quero', 'dizer', 'nome', 'Eduardo', 'Campos', 'vamos', 'desistir', 'bom']"
Jarbas Vasconcelos,"['Deputadas', 'Deputados', 'evidente', 'Presidente', 'República', 'cometeu', 'crimes', 'pedaladas', 'sobretudo', 'mentiu', 'País', 'Mentiu', 'País', 'prometeu', 'coisa', 'campanha', 'fez', 'outra', 'exatamente', 'contrário', 'País', 'fundo', 'poço', 'quebrado', 'arrebentado', 'crédito', 'desmoralizado', 'impeachment', 'Mas', 'quero', 'Presidente', 'dizer', 'desconforto', 'ter', 'pessoa', 'V.Exa', 'presidindo', 'Casa', 'V.Exa', 'agrava', 'cada', 'vez', 'expediente', 'processo', 'político', 'brasileiro', 'Ele', 'fica', 'profundamente', 'maculado', 'presença']"
João Fernando Coutinho,"['Presidente', 'Deputados', 'Deputadas', 'povo', 'brasileiro', 'abertura', 'processo', 'impedimento', 'Presidente', 'Dilma']"
Jorge Côrte Real,"['Presidente', 'signifique', 'retorno', 'deste', 'País', 'desenvolvimento', 'econômico', 'gerando', 'emprego', 'gerando', 'renda', 'gerando', 'condições', 'dignas', 'brasileiro', 'família', 'pernambucana', 'Gostaria', 'dedicar', 'especificamente', 'pernambucanos', 'honraram', 'mandato', 'família', 'especial', 'mulher', 'netos']"
Kaio Maniçoba,"['Presidente', 'chego', 'alto', 'desta', 'tribuna', 'proferir', 'célebre', 'frase', 'querido', 'Ulysses', 'Guimarães', 'disse', 'Nação', 'quer', 'mudar', 'Nação', 'deve', 'mudar', 'Nação', 'vai', 'mudar', 'Chego', 'orgulho', 'ser', 'pernambucano', 'ser', 'sertanejo', 'ser', 'florestano', 'dizer', 'impeachment']"
Luciana Santos,"['Há', 'canção', 'Pernambuco', 'diz', '...', 'injustiça', 'dói', 'Nós', 'madeira', 'lei', 'cupim', 'rói', 'Aqui', 'PCdoB', 'vota', 'tombaram', 'democracia', 'País', 'PCdoB', 'vota', 'brasileiros', 'brasileiras', 'ruas', 'indignados', 'dia', 'hoje', 'dias', 'passaram', 'porque', 'além', 'todas', 'injustiças', 'desse', 'processo', 'réu', 'comandando', 'procedimento', 'impedimento', 'Presidenta', 'Dilma', 'mulher', 'séria', 'PCdoB', 'diz', 'alto', 'bom', 'som', 'vai', 'ter', 'luta', 'Não', 'golpe']"
Marinaldo Rosendo,"['Presidente', 'quero', 'dizer', 'todos', 'amigos', 'Deputados', 'Deputadas', 'prazer', 'estar', 'neste', 'primeiro', 'mandato', 'PSB', 'Pernambuco', 'poder', 'ajudar', 'melhorar', 'sendo', 'visto', 'povo', 'brasileiro', 'quebrado', 'credibilidade', 'País', 'queria', 'mandar', 'grande', 'abraço', 'timbaubenses', 'cidade', 'Timbaúba', 'Estado', 'Pernambuco', 'Pelo', 'Estado', 'pernambucanos', 'grande', 'amigo', 'sempre', 'Eduardo', 'Campos', 'tudo', 'vamos', 'desistir', 'Meu']"
Mendonça Filho,"['Presidente', 'Deputados', 'venho', 'Estado', 'tradições', 'libertárias', 'democráticas', 'Presidente', 'Dilma', 'cometeu', 'crime', 'responsabilidade', 'regra', 'constitucional', 'clara', 'povo', 'coloca', 'Presidente', 'poder', 'Quando', 'Presidente', 'República', 'comete', 'crime', 'responsabilidade', 'cabe', 'representantes', 'povo', 'portanto', 'tirar', 'cometeu', 'crime', 'cargo', 'ocupa', 'Presidente', 'República', 'cumprindo', 'obrigação', 'perante', 'Constituição', 'Vamos', 'votar', 'impeachment', 'Presidente', 'Dilma', 'Rousseff']"
Pastor Eurico,"['Feliz', 'nação', 'cujo', 'Deus', 'Senhor', 'Em', 'defesa', 'vida', 'família', 'moral', 'bons', 'costumes', 'contra', 'corrupção', 'desistindo']"
Ricardo Teobaldo,"['Presidente', 'político', 'lado', 'posição', 'merece', 'respeito', 'pessoas', 'modifica', 'muita', 'coisa', 'placar', 'mostra', 'resultado', 'impeachmando', 'Presidente', 'República', 'Mas', 'venho', 'Estado', 'grande', 'liderança', 'história', 'País', 'Desde', 'começou', 'processo', 'impeachment', 'posição', 'formada', 'nesta', 'Casa', 'Vi', 'muitos', 'companheiros', 'mudarem', 'lado', 'dia', 'outro', 'manhã', 'noite', 'acho', 'povo', 'vai', 'julgar', 'mudaram', 'transferiram', 'votos', 'Seria', 'cômodo', 'agora', 'placar', 'desses', 'dizer', 'votaria', '``', '``', 'Mas', 'injustiça', 'votar', '``', '``', 'processo', 'contra', 'mulher', 'séria', 'honrada', 'Presidente', 'Dilma', 'cidade', 'tradição', 'Pernambuco', 'homens', 'sérios', 'querida', 'Limoeiro', 'Já', 'passaram', 'grandes', 'homens', 'públicos', 'Maurílio', 'Ferreira', 'Lima', 'Carlos', 'Alberto', 'Oliveira', 'Heráclito', 'Rêgo', 'Por', 'Limoeiro', 'Pernambuco', 'seriedade', 'impeachment']"
Sebastião Oliveira,"['Presidente', 'Deputado', 'Sertão', 'Pernambuco', 'Os', 'sertanejos', 'diferente', 'região', 'metropolitana', 'comungam', 'saída', 'crise', 'através', 'impeachment', 'Mas', 'povo', 'pernambucano', 'sabe', '2014', 'procurei', 'outra', 'opção', 'acompanhar', 'Marina', 'Silva', 'Eduardo', 'Campos', 'Hoje', 'respeito', 'partido', 'vou', 'abster']"
